date,actual,point_forecast,recommended_order
02/12/2025,116,114.4,120
03/12/2025,110,105.5,111
04/12/2025,80,93.1,99
05/12/2025,90,85.2,91
06/12/2025,91,88.8,94
07/12/2025,98,101,107
08/12/2025,120,112.8,118
09/12/2025,114,115.4,121
10/12/2025,112,106.4,112
11/12/2025,87,94,100
12/12/2025,79,86.1,92
13/12/2025,96,89.8,95
14/12/2025,113,101.9,108
15/12/2025,115,113.8,119
16/12/2025,119,116.3,122
17/12/2025,101,107.3,113
18/12/2025,83,95,101
19/12/2025,83,87,93
20/12/2025,97,90.7,96
21/12/2025,89,102.8,108
22/12/2025,109,114.7,120
23/12/2025,102,117.2,123
24/12/2025,105,108.3,114
25/12/2025,97,95.9,102
26/12/2025,77,87.9,94
27/12/2025,86,91.6,97
28/12/2025,109,103.8,109
29/12/2025,111,115.6,121
30/12/2025,106,118.1,124
31/12/2025,96,109.2,115
